nombre,telefono,mail,web,referentes
Abrelabios,099469399,ed.abrelabios@gmail.com,http://www.abrelabios.com,Wilson Javier Cardozo (integrante de Directiva)| Zenia García Ríos (integrante de Directiva)| José Luis Machado (integrante de Directiva)
Caif Padre Novoa II. Fe y Alegria Uruguay,24110667,caifpadrenovoa@gmail.com,http://feyalegria.org.uy,Marcelo Copetti| Presidente| Martín Haretche Méndez| Secretario
Agencia Adventista para el Desarrollo y Recursos Asistenciales,23038871 INT 302/324,contacto@adra.org.uy,http://www.adra.org.uy,Kevin Ivanof| Director| Cristian Frick| Romina Duarte
Agencia de Desarrollo de Colonia del Este,4554 5065,adeeste@gmail.com,http://www.ade.com.uy,Facundo Ferro| Gerente
AFS Programas Interculturales,29147111,contacto@afs.org,http://www.afs.org.uy,Valentina Koifman - Country Manager| Juan Medici - Director Ejecutivo
Agencia de Desarrollo de Cerro Largo,4642 4596,agenciacerrolargo@gmail.com,http://www.agenciacerrolargo.com.uy,José Ignacio Espiga| Gerente
Adultos Mayores Juventud 2001,2902 9124 | 2320 5347 | 2320 1475,redadultosmayores12@gmail.com,,Norma Rodríguez Scarella| Alba Walkiria Rodríguez Scarella| Margot Quiroga López
Acción Promocional 18 de Julio,2216 80 40 - 098 500 262,info@ap18dejulio.org,http://ap18dejulio.org -  www.facebook.com/Acci%C3%B3n-Promocional-18-de-Julio-251231088243671/,Maria Rita Quintero Fraga| presidenta| Jorge Vera Arenas| Secretario
Acción Coordinadora y Reivindicadora del Impedido del Uruguay,2901 5987 | 2628 0777,acridu@internet.com.uy,http://www.acridu.org,Roideé De los Santos| Coordinadora General| Natalia Gil| Directora| Georgina Jorge| Coordinadora sede Montevideo
Acondroplasia Uruguay,2600 7046 | 099 120 454,acondroplasiauruguay@gmail.com,http://www.acondroplasiauruguay.com/ -  www.facebook.com/acondroplasia.uruguay/,Rosa Brumberg| Laura Moreira| Isabel Blanco
Accionar entre Mujeres Guyunusa,099808241 | 099817631,silru@adinet.com.uy,,Amelia Punciolo - Presidenta| Silvana Ruggieri - Coordinadora
Afrocan Durazno,,,http://www.facebook.com/afrocan.durazno,
Academia de Yoga Ananda,29155044,ananda@yogauy.net,http://yogauy.net,Octav Fercheluc| Director| Camila Ferret| Secretaria
Academia Nacional de Economía,2915 6724,info@acadeco.com.uy,http://www.acadeco.com.uy,María Dolores Benavente| Presidente| Ramón Díaz| Vicepresidente| Eduardo Palacios| Secretario
A mis hijos no los tocan,+598 92 198 715,amishijosnolostocan@gmail.com,http://www.facebook.com/pg/amishijosnolostocan/about/?ref=page_internal,Gladys Camargo.| Gerardo Correa. Tel:  094024542| Christian Guevara
Agencia de Desarrollo Económico de Florida,4352 4031,adef.florida@gmail.com,http://www.facebook.com/adefcomunicaciones,Gabriela Luengo| Gerenta
Agencia de Desarrollo Económico de Juan Lacaze,45865459 | 099424891,agenciadesarrollojl@gmail.com,http://www.parqueindustrialjuanlacaze.com,Whylde Gonnet| Gerente| Wanda Zerpa| Secretaria
Agencia de Desarrollo de Rivera,4623 4992,agenciadesarrollo.rivera@gmail.com,http://www.agenciadesarrollorivera.com.uy,Francisco Centurión| Gerente| Ariel Pereira| Presidente
Agrupación Agropecuaria e Industrial de Aiguá,4446 2272 | 099235658,eduardo.correa.martinez@hotmail.com,,Nilson Martínez| Presidente| Eduardo Correa Martinez| Secretario Administrativo
Agencia de Desarrollo Económico de Tarariras,4574 3897,adetar@adinet.com.uy,http://www.facebook.com/adetarariras,Gustavo Pons| Presidente
Agremiación de Pasivos 19 de Junio de 1973,4632 5452,agrpasivos@hotmail.com,,Presidente Daniel Ferreira Mendez
Agencia de Desarrollo Productivo de Paysandú,47241011,gerencia@cespaysandu.org.uy,http://www.cespaysandu.org.uy,Marcelo Noguera - Presidente| Horacio Ragni - Gerente
Agrupación de Profesionales Asesores en Seguros,2900 2553,aproase@adinet.com.uy,http://www.aproase.com.uy,Juan Pablo Risso| Presidente| Eduardo Martoy| Vicepresidente| Esteban Bello| Secretario General
Agencia de Desarrollo y Descentralización de Ciudad del Plata,2347 1153,desarrollo.ciudaddelplata@gmail.com,http://www.agenciadesarrollociudaddelplata.blogspot.com,Eduardo Rapetti| Gerente| Lilián Sánchez Díaz| Gerenta
Agrupación Colectivo 1 de  Mayo,,colectivo1demayo@gmail.com,http://colectivo1demayo.wixsite.com/ddhh,Ramón Castro| Coordinador
Agencia de Desarrollo Productivo de Tacuarembó,4632 2505,adetacuarembo@adinet.com.uy,http://www.arturuguay.org/radel/tacuarembo,Gustavo Ferreira| Gerente
Agremiación Federal de Funcionarios no docentes de la Universidad de la República,2402 4244,affur@affur.org.uy,http://www.affur.org.uy,Jorge Taborda| Delegado
AIESEC,2909 1291,uruguay@aiesec.net,http://www.aiesec.org.uy,Fernando Kamachi| Nicolás González| Presidente
Agrupación Queguay Charrúa,,miltonbod@hotmail.com,,Gastón Acosta| Hugo Daniel Rodríguez| Tancredo Suárez Pestes
América Solidaria Uruguay,2900 8324,uruguay@americasolidaria.org.uy,http://www.americasolidaria.org,Javier Pereira| Director| Marcelo Pereira| Presidente| Ignacio Gari| Secretario
